Chave,Latitude,Longitude
TAMOIOS DISTRITO DE CABO FRIO - RJ,,
SANTA LUZIA - MG,-19.7702097,-43.8505291
TUTOIA - MA,-2.761413,-42.275531
BASTOS - SP,-21.9222474,-50.7317727
BEZERROS - PE,-8.2348359,-35.7481315
PRUDENTOPOLIS - PR,-25.203358,-50.9895774
GRAJAU - MA,-5.8154034,-46.1361454
CANINDE - CE,-4.3547946,-39.3108516
ABAETETUBA - PA,-1.7217787,-48.8788106
CARAUBAS - RN,-5.7889323,-37.5548751
TERESINA - PI,-5.0902277,-42.8129529
LINS - SP,-21.6741873,-49.7518932
BRAGANCA PAULISTA - SP,-22.9520235,-46.5418586
ALENQUER - PA,-1.946229,-54.738355
AMARGOSA - BA,-13.0302189,-39.6040692
TRAMANDAI - RS,-29.9855339,-50.1316076
CARAGUATATUBA - SP,-23.62028,-45.41306
ARARAS - SP,-22.3569192,-47.3838766
RIO GRANDE - RS,-32.0334252,-52.0991297
SAO LEOPOLDO - RS,-29.7544405,-51.1516497
SAO LUIS DO QUITUNDE - AL,-9.3181755,-35.5605097
FOZ DO IGUACU - PR,-25.5304023,-54.5830692
UBATUBA - SP,-23.433162,-45.083415
ALTO CAPARAO - MG,-20.4405661,-41.8683799
CAREIRO - AM,-3.8185277,-60.3616505
PARAISO DO TOCANTINS - TO,-10.1752474,-48.886759
CACHOEIRO DE ITAPEMIRIM - ES,-20.848084,-41.11129
DIANOPOLIS - TO,-11.624008,-46.819787
LAJEDO DO TABOCAL - BA,-13.4740649,-40.2195324
SAO PEDRO DA ALDEIA - RJ,-22.8384835,-42.1031604
SANTA RITA - PB,-7.128465,-34.9846186
MARACAS - BA,-13.4408898,-40.433052
VINHEDO - SP,-23.0298535,-46.9749847
SAO BORJA - RS,-28.6592237,-56.0044295
JARU - RO,-10.431826,-62.478769
PIRACICABA - SP,-22.725165,-47.6493269
CATANDUVA - SP,-21.1331035,-48.9712817
BENTO GONCALVES - RS,-29.1654014,-51.5197627
ARACOIABA DA SERRA - SP,-23.5045367,-47.6168158
MONTES CLAROS - MG,-16.7495727,-43.8687268
GAROPABA - SC,-28.0274798,-48.6240197
LONDRINA - PR,-23.3112878,-51.1595023
JAU - SP,-22.293585,-48.559193
ITABIRA - MG,-19.6190169,-43.226248
CACADOR - SC,-26.7737784,-51.0134844
FARROUPILHA - RS,-29.22647,-51.3468188
ALAGOINHAS - BA,-12.133526,-38.420772
JACAREZINHO - PR,-23.1590428,-49.9739664
ECOPORANGA - ES,-18.3720918,-40.8321351
PARANAGUA - PR,-25.5148822,-48.5226695
MARABA - PA,-5.3462821,-49.1007401
GOIANIRA - GO,-16.5001973,-49.4254788
CATALAO - GO,-18.1702546,-47.9447082
OURO FINO - MG,-22.283056,-46.369167
CORONEL FABRICIANO - MG,-19.5200067,-42.6282686
BARRA DO CHOCA - BA,-14.8638173,-40.5761637
BEBERIBE - CE,-4.1810469,-38.1298101
ADRIANOPOLIS - PR,-24.6557863,-48.9912769
APUCARANA - PR,-23.5525327,-51.4610764
CUPIRA - PE,-8.6053148,-35.9530366
VITORIA - ES,-20.3200917,-40.3376682
NOVA ODESSA - SP,-22.7805746,-47.2993805
VARZEA GRANDE - MT,-15.645816,-56.132218
RIO PARDO DE MINAS - MG,-15.6106289,-42.5387444
BOA VISTA - RR,2.8208478,-60.6719582
NOVA VENEZA - SC,-28.637371,-49.4997634
VIAMAO - RS,-30.0819338,-51.0261927
JATAI - GO,-17.8856178,-51.7202967
ITAPERUCU - PR,-25.2212291,-49.3458394
BALNEARIO PICARRAS - SC,-26.7638889,-48.6716667
ALTO ARAGUAIA - MT,-17.3156528,-53.2169365
SANTO AMARO - BA,-12.5519686,-38.7060448
SAO SEBASTIAO - DF,-15.9033774,-47.7717736
HUMAITA - AM,-7.5099404,-63.0248674
COROATA - MA,-4.1282283,-44.1360269
SENADOR SA - CE,-3.3528,-40.4644057
IRETAMA - PR,-24.4205941,-52.1013532
URUTAI - GO,-17.4640633,-48.2021071
SANTO ANTONIO DO MONTE - MG,-20.086944,-45.290555
VARZEA PAULISTA - SP,-23.2113889,-46.8283333
SANTO ANTONIO DO SUD - PR,-30.0600522,-51.203882
AGUA BOA - MT,-14.0522968,-52.1617625
COLORADO DO OESTE - RO,-13.117431,-60.545428
ROCHEDO - MS,-19.956488,-54.884769
GUARATUBA - PR,-25.8806192,-48.5750905
ITURAMA - MG,-19.7272733,-50.193488
OURO BRANCO - MG,-20.5222413,-43.6917283
URUGUAIANA - RS,-29.7560726,-57.0867546
TAPEROA - BA,-13.537364,-39.0986529
ITABUNA - BA,-14.793173,-39.2750341
BENJAMIN CONSTANT - AM,-4.3782748,-70.0290603
RESTINGA SECA - RS,-29.8145611,-53.3734546
ESPIGAO D&#039
GOUVEIA - MG,-18.4545728,-43.7415904
ASSIS CHATEAUBRIAND - PR,-24.4054826,-53.5120468
BRASILIA/ TAGUATINGA - DF,-15.8235031,-48.0657448
ESPIRITO SANTO DO PINHAL - SP,-22.1929522,-46.7470021
ITATIBA - SP,-23.0055542,-46.8397726
ITABERA - SP,-23.8621345,-49.1398926
PARAGUACU PAULISTA - SP,-22.4203497,-50.5792099
BOA ESPERANCA - ES,-18.5395472,-40.2904088
AUTAZES - AM,-3.5833283,-59.1301518
GAUCHA DO NORTE - MT,-13.18136,-53.2543946
BARREIRAS - BA,-12.1440031,-44.9967406
ITAQUAQUECETUBA - SP,-23.4754492,-46.3514033
MATINHOS - PR,-25.8187096,-48.534204
POSSE - GO,-14.0835852,-46.3563185
